Age,Gender,Family_History,Company_Size,Tech_Company,Wellness_Program,Anonymity_Protected,Leave_Difficulty,Work_Interfere,Benefits,Care_Options,Comments,Target_Sought_Treatment,Survey_Year
29.0,Male,No,More than 1000,Yes,No,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
39.0,Male,No,26-100,Yes,Yes,Yes,Very easy,Never,Yes,Yes,I work for an extremely supportive company and we are amazingly open about mental health issues. Employees often share their struggles with the whole team and receive a high level of support in return.,0,2014
38.0,Male,Yes,More than 1000,Yes,Yes,Yes,Don't know,Sometimes,Yes,Not sure,no comment,1,2014
43.0,Male,No,6-25,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
46.0,Male,No,500-1000,Yes,Yes,Yes,Don't know,Rarely,Yes,Not sure,no comment,1,2014
38.0,Female,Yes,More than 1000,No,Yes,Yes,Very easy,Sometimes,Yes,Yes,no comment,1,2014
33.0,Male,No,6-25,Yes,No,Yes,Very easy,Sometimes,Yes,Yes,no comment,1,2014
34.0,Male,Yes,26-100,Yes,No,Yes,Very easy,Often,No,Yes,no comment,1,2014
62.0,Male,No,More than 1000,Yes,Don't know,Don't know,Don't know,Never,Yes,Yes,no comment,0,2014
23.0,Female,No,More than 1000,No,Don't know,Yes,Don't know,,Don't know,Not sure,no comment,0,2014
35.0,Male,No,More than 1000,No,No,Don't know,Don't know,,No,No,no comment,0,2014
25.0,Male,Yes,26-100,Yes,Don't know,Don't know,Don't know,Rarely,Don't know,Not sure,no comment,0,2014
36.0,Male,Yes,1-5,Yes,Don't know,Yes,Somewhat difficult,Sometimes,Don't know,Yes,no comment,1,2014
41.0,Female,Yes,500-1000,Yes,Yes,Yes,Very easy,Rarely,Yes,Yes,no comment,1,2014
24.0,Male,No,1-5,Yes,Don't know,Yes,Somewhat easy,Sometimes,Yes,Yes,no comment,0,2014
51.0,Male,No,26-100,Yes,Yes,No,Somewhat difficult,Sometimes,No,Yes,no comment,1,2014
29.0,Male,No,6-25,Yes,No,Yes,Very easy,Sometimes,Yes,Yes,no comment,1,2014
31.0,Female,Yes,100-500,Yes,Don't know,Don't know,Don't know,Sometimes,Don't know,Not sure,no comment,1,2014
27.0,Male,No,6-25,Yes,No,Don't know,Don't know,,No,No,no comment,0,2014
31.0,Male,No,100-500,Yes,Yes,Don't know,Somewhat easy,Rarely,Yes,Yes,no comment,1,2014
27.0,Female,Yes,1-5,Yes,No,No,Very difficult,Sometimes,No,No,no comment,0,2014
23.0,Male,No,6-25,Yes,No,Don't know,Very easy,Rarely,Don't know,No,no comment,0,2014
21.0,Male,No,26-100,Yes,Don't know,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
27.0,Female,Yes,6-25,Yes,No,No,Somewhat difficult,Sometimes,No,Yes,no comment,1,2014
39.0,Male,Yes,26-100,Yes,Yes,Don't know,Somewhat easy,Often,Yes,Yes,no comment,1,2014
26.0,Male,Yes,More than 1000,Yes,No,Don't know,Don't know,Never,Don't know,No,no comment,1,2014
27.0,Male,No,6-25,Yes,No,Don't know,Don't know,Never,Don't know,No,no comment,0,2014
22.0,Female,Yes,500-1000,Yes,No,Don't know,Don't know,Sometimes,Yes,Yes,no comment,1,2014
26.0,Female,Yes,100-500,No,No,Don't know,Somewhat difficult,Often,Don't know,No,no comment,1,2014
31.0,Female,Yes,100-500,Yes,No,Yes,Somewhat easy,Rarely,Yes,Yes,no comment,1,2014
32.0,Male,No,6-25,Yes,No,Don't know,Don't know,Never,Don't know,No,no comment,0,2014
28.0,Female,Yes,100-500,Yes,No,Don't know,Don't know,Often,Yes,No,no comment,1,2014
28.0,Other,Yes,100-500,Yes,No,Yes,Somewhat difficult,Rarely,No,Not sure,I bring up my depression in interviews solely because I have a large gap on my CV due to mental health issues which could be mistaken for a gap taken to say have children which I feel would harm my chances much more. I have other MH issues I would never bring up with employers or peers.,1,2014
23.0,Female,No,6-25,Yes,No,Don't know,Very easy,,Don't know,Not sure,no comment,0,2014
30.0,Male,No,26-100,Yes,Don't know,Don't know,Very easy,Never,Don't know,Not sure,no comment,0,2014
36.0,Male,Yes,More than 1000,Yes,No,Don't know,Somewhat difficult,Sometimes,Yes,No,no comment,1,2014
21.0,Male,Yes,More than 1000,Yes,Yes,Yes,Don't know,,Yes,Yes,no comment,0,2014
30.0,Male,No,26-100,Yes,Don't know,Don't know,Somewhat easy,Often,No,No,no comment,0,2014
25.0,Female,Yes,500-1000,No,No,Don't know,Don't know,,Don't know,Not sure,I'm not aware of anyone with mental health issues at work it's definitely not something that's discussed publicly. There's also a lot of other personal info I don't know about my coworkers so it may just be that we tend not to talk about personal issues.,0,2014
32.0,Male,No,6-25,Yes,No,Don't know,Very easy,Sometimes,No,No,I suffer from mild depression and anxiety.,1,2014
29.0,Female,No,1-5,Yes,No,Don't know,Don't know,Sometimes,No,No,The family history question needs a don't know option.,1,2014
21.0,Other,No,26-100,Yes,Yes,Yes,Somewhat easy,Sometimes,No,Yes,no comment,1,2014
27.0,Female,Yes,100-500,Yes,No,Don't know,Somewhat easy,Rarely,No,No,no comment,1,2014
32.0,Female,No,More than 1000,No,Don't know,Don't know,Don't know,Often,Don't know,Not sure,no comment,1,2014
34.0,Male,No,More than 1000,Yes,Yes,Yes,Very easy,Sometimes,Yes,Yes,no comment,0,2014
33.0,Male,No,26-100,Yes,Don't know,Don't know,Don't know,,Don't know,No,I'm afraid I haven't seen mental health issues arise at work yet. They are very accommodating with maternity leave but I don't know how that translates to anything else.,0,2014
22.0,Male,Yes,6-25,Yes,No,Don't know,Somewhat easy,Sometimes,No,Not sure,no comment,1,2014
24.0,Male,No,More than 1000,Yes,Don't know,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
65.0,Male,No,6-25,No,No,Don't know,Very easy,,No,No,no comment,0,2014
27.0,Male,Yes,100-500,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
33.0,Male,No,More than 1000,Yes,Don't know,Yes,Very easy,Never,Don't know,Not sure,no comment,0,2014
36.0,Male,No,26-100,Yes,No,Don't know,Don't know,Rarely,Don't know,Not sure,no comment,1,2014
40.0,Male,No,26-100,Yes,No,Don't know,Somewhat difficult,Never,No,No,no comment,0,2014
28.0,Male,No,More than 1000,Yes,No,Yes,Somewhat difficult,Sometimes,Yes,Yes,no comment,1,2014
39.0,Male,No,500-1000,Yes,Yes,Yes,Don't know,Sometimes,Yes,Not sure,no comment,1,2014
32.0,Male,No,More than 1000,Yes,No,Don't know,Somewhat easy,Sometimes,Yes,No,no comment,1,2014
31.0,Male,Yes,More than 1000,Yes,Don't know,Don't know,Somewhat easy,Sometimes,Yes,Not sure,Mental health issue I have dealt with: acute depression,0,2014
38.0,Other,Yes,100-500,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
23.0,Male,Yes,1-5,Yes,No,Don't know,Don't know,Rarely,No,Yes,no comment,1,2014
42.0,Other,No,More than 1000,Yes,Yes,Yes,Somewhat easy,Often,Yes,Yes,no comment,1,2014
27.0,Female,No,500-1000,Yes,Don't know,Don't know,Don't know,Sometimes,Don't know,Not sure,no comment,0,2014
26.0,Female,Yes,26-100,Yes,No,Yes,Somewhat difficult,Sometimes,Yes,Yes,no comment,1,2014
50.0,Male,No,26-100,Yes,No,Don't know,Don't know,Never,No,Yes,no comment,0,2014
37.0,Male,Yes,26-100,Yes,No,Don't know,Somewhat easy,Never,Don't know,No,no comment,0,2014
23.0,Male,No,26-100,Yes,Don't know,Don't know,Don't know,,Don't know,No,no comment,0,2014
33.0,Male,Yes,6-25,Yes,No,Yes,Very easy,Sometimes,Don't know,Not sure,no comment,0,2014
29.0,Male,No,26-100,Yes,No,Yes,Very difficult,Never,Yes,Yes,no comment,0,2014
34.0,Male,Yes,26-100,No,No,Don't know,Don't know,Sometimes,Yes,No,Thanks for doing this. It will help end the stigma!,1,2014
41.0,Male,Yes,More than 1000,Yes,No,Don't know,Don't know,Often,Yes,No,no comment,1,2014
50.0,Male,Yes,100-500,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
29.0,Male,No,More than 1000,No,Yes,Yes,Somewhat difficult,Never,Yes,Not sure,For clarity I work at a casino.,1,2014
35.0,Male,No,6-25,Yes,No,Yes,Very easy,Never,No,Yes,no comment,0,2014
27.0,Male,No,1-5,Yes,No,Yes,Don't know,Sometimes,No,No,Most employers / coworkers and even immediate family is not all the time supportive to discuss depression and other problems. ie. My wife thinks she should be able to make sure that I am not depressed  which is funny because sometimes depression state has nothing to do with her. ,0,2014
40.0,Female,No,26-100,No,No,Don't know,Somewhat easy,Never,Don't know,Not sure,no comment,0,2014
27.0,Male,No,100-500,Yes,No,Don't know,Don't know,Often,No,No,no comment,1,2014
29.0,Female,No,26-100,Yes,Yes,Yes,Don't know,Never,Yes,Yes,no comment,0,2014
31.0,Male,Yes,6-25,Yes,No,Don't know,Somewhat easy,Sometimes,No,No,no comment,1,2014
43.0,Male,No,6-25,Yes,No,Don't know,Somewhat easy,Sometimes,No,Yes,no comment,1,2014
34.0,Male,Yes,26-100,Yes,No,Don't know,Don't know,Sometimes,Yes,Yes,no comment,1,2014
29.0,Male,Yes,26-100,Yes,No,No,Somewhat difficult,Sometimes,Don't know,No,It has come to interfere with work as life progresses.Between burn out and enduring more of the work and balancing a family. Changes in my mental health have a larger pond to make ripples in.,1,2014
19.0,Male,Yes,1-5,Yes,No,Don't know,Don't know,Sometimes,No,No,no comment,1,2014
41.0,Male,Yes,More than 1000,Yes,Yes,Don't know,Don't know,Sometimes,Yes,Not sure,no comment,1,2014
29.0,Male,Yes,100-500,Yes,Yes,Don't know,Don't know,Never,Yes,Yes,no comment,0,2014
23.0,Male,No,100-500,Yes,Don't know,Don't know,Don't know,Rarely,Yes,Not sure,no comment,0,2014
24.0,Female,Yes,100-500,Yes,No,Don't know,Somewhat difficult,Sometimes,Yes,Not sure,no comment,1,2014
31.0,Male,No,26-100,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
43.0,Male,No,500-1000,Yes,Don't know,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
31.0,Male,Yes,100-500,Yes,No,Don't know,Somewhat difficult,Rarely,No,No,no comment,1,2014
29.0,Male,Yes,100-500,Yes,Yes,Don't know,Don't know,Often,Yes,Yes,no comment,0,2014
35.0,Male,Yes,6-25,Yes,Yes,Don't know,Very easy,,No,No,The supposed divide between mental and physical health needs to done away with and probably will be as our knowledge of the brain increases. That said we are often employed for our ability to provide value. If any issue prevents is from providing value that creates a very real challenge for the employer who is responsible to shareholders and other team members who are providing value. There are no easy answers here.,0,2014
33.0,Male,Yes,100-500,No,No,Yes,Somewhat difficult,Sometimes,Yes,Not sure,no comment,1,2014
30.0,Other,Yes,1-5,No,No,Yes,Somewhat difficult,Often,No,Yes,Because I'm self-employed and the only person in my organization I would have liked a not applicable option. I don't want my answers to be misleading.,1,2014
27.0,Male,No,More than 1000,Yes,Don't know,Yes,Don't know,,Yes,Not sure,no comment,0,2014
32.0,Male,No,100-500,Yes,No,Don't know,Don't know,Sometimes,No,Yes,no comment,0,2014
50.0,Male,No,1-5,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,I work for a very small firm that doesn't really have a dedicated H/R person. Also for the question:If you have a mental health condition do you feel that it interferes with your work?...I don't have a diagnosed mental health condition but I suspect I might have some slight depression issues. Definitely have Imposter Syndrome.,0,2014
24.0,Male,No,26-100,No,No,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
27.0,Male,No,26-100,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
27.0,Male,No,1-5,Yes,No,Don't know,Don't know,Never,No,No,no comment,0,2014
32.0,Male,No,6-25,Yes,No,Yes,Somewhat easy,Sometimes,No,Yes,I went through a divorce and was pretty depressed I went to therapy and my boss (one of the owners) was extremely supportive. I'm not sure I would have got through that rough time with out my co-workers and boss.,1,2014
42.0,Male,No,6-25,No,No,Don't know,Very easy,Rarely,No,Yes,no comment,0,2014
37.0,Male,No,More than 1000,No,No,Don't know,Don't know,Often,Don't know,No,no comment,0,2014
30.0,Male,No,26-100,Yes,No,Don't know,Somewhat easy,Sometimes,Don't know,Not sure,no comment,0,2014
29.0,Male,No,More than 1000,Yes,No,Don't know,Very easy,Rarely,Yes,No,no comment,0,2014
30.0,Male,No,6-25,Yes,No,Don't know,Somewhat difficult,Often,No,Not sure,no comment,1,2014
35.0,Male,No,26-100,Yes,Yes,Don't know,Don't know,Never,Yes,No,no comment,0,2014
35.0,Male,Yes,100-500,No,No,Yes,Very difficult,Rarely,Yes,Yes,I'm diagnosed with Bipolar Disorder. My benefits for mental health exist but are terrible. The deductible is $800. I see a therapist once or twice a month at the cost of $150. The insurance company only values it at $40. My psychiatrist is $180 for 15 minutes. The insurance company values it at $80. It is IMPOSSIBLE to hit my deductible. I don't even bother making the claims.,1,2014
38.0,Male,Yes,26-100,Yes,No,Don't know,Don't know,Often,No,Not sure,no comment,0,2014
22.0,Male,Yes,100-500,Yes,No,Yes,Very easy,Sometimes,Yes,Yes,no comment,1,2014
24.0,Male,Yes,100-500,Yes,No,Don't know,Somewhat easy,Sometimes,Don't know,No,We don't fucking talk about it ever.,0,2014
22.0,Male,No,1-5,Yes,No,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
31.0,Female,No,26-100,Yes,No,Don't know,Very easy,Often,Yes,Yes,no comment,1,2014
23.0,Female,Yes,More than 1000,Yes,Yes,Yes,Somewhat easy,Sometimes,Yes,Yes,no comment,1,2014
31.0,Female,Yes,100-500,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
28.0,Female,Yes,500-1000,Yes,Yes,Don't know,Somewhat difficult,Rarely,Yes,Yes,no comment,1,2014
37.0,Other,Yes,100-500,No,No,Don't know,Somewhat difficult,Sometimes,Yes,Yes,no comment,1,2014
34.0,Male,Yes,6-25,Yes,No,Yes,Somewhat easy,Sometimes,No,Yes,thanks for what you're doing. FYI these questions dont quite work for entrepreneurs where employer == cofounders / sr mgmt / me,1,2014
32.0,Other,No,26-100,Yes,No,Yes,Very difficult,Sometimes,No,Yes,no comment,0,2014
28.0,Male,Yes,26-100,Yes,No,Don't know,Don't know,Sometimes,Yes,Not sure,no comment,1,2014
24.0,Female,No,100-500,Yes,No,Don't know,Don't know,Sometimes,No,No,no comment,1,2014
56.0,Male,Yes,6-25,Yes,No,Don't know,Don't know,Rarely,Yes,Yes,no comment,1,2014
31.0,Male,No,6-25,Yes,No,No,Very easy,Sometimes,No,No,no comment,0,2014
34.0,Female,No,100-500,Yes,No,Don't know,Somewhat easy,Sometimes,Yes,Yes,no comment,1,2014
35.0,Male,No,100-500,No,Yes,Don't know,Very easy,Rarely,Don't know,No,no comment,1,2014
28.0,Male,No,26-100,Yes,No,Don't know,Somewhat easy,Never,No,No,no comment,0,2014
36.0,Male,Yes,6-25,Yes,No,Don't know,Somewhat easy,Often,No,No,no comment,1,2014
30.0,Male,No,26-100,Yes,No,Yes,Somewhat easy,Often,No,No,no comment,1,2014
35.0,Male,No,1-5,Yes,No,Yes,Very easy,,Yes,Not sure,no comment,0,2014
49.0,Male,Yes,1-5,Yes,Yes,Don't know,Somewhat difficult,Sometimes,No,Yes,no comment,1,2014
36.0,Male,No,26-100,Yes,No,Yes,Very easy,,Yes,Yes,no comment,0,2014
35.0,Male,No,26-100,Yes,No,Don't know,Very easy,,No,No,no comment,0,2014
29.0,Female,Yes,More than 1000,No,Yes,No,Somewhat difficult,Sometimes,Yes,Yes,no comment,1,2014
57.0,Male,No,26-100,Yes,No,Yes,Somewhat difficult,Never,Yes,Yes,no comment,0,2014
31.0,Female,Yes,100-500,No,No,No,Don't know,Rarely,Yes,No,no comment,1,2014
37.0,Male,No,6-25,Yes,No,Don't know,Don't know,Never,No,No,no comment,0,2014
25.0,Male,Yes,26-100,Yes,No,Don't know,Don't know,Sometimes,No,No,no comment,1,2014
30.0,Male,No,26-100,Yes,No,Don't know,Very easy,Sometimes,No,No,no comment,0,2014
26.0,Female,Yes,100-500,No,Yes,Don't know,Somewhat easy,Sometimes,No,Yes,Majority of qs on survey not relevant if you are self employed,0,2014
22.0,Female,No,6-25,Yes,No,Don't know,Don't know,Often,No,No,no comment,0,2014
39.0,Male,No,More than 1000,No,Yes,Don't know,Don't know,Rarely,Don't know,No,I mostly suffer from social anxiety which keeps me from attending conferences. In my small dev group a big problem is a supervisor who's a workaholic and will never say no when asked to do something so he's doing the job of at least two ppl (poorly) and working crazy hours setting the tone for the test of us that work/life balance isn't important.,0,2014
29.0,Male,Yes,100-500,Yes,Don't know,Don't know,Don't know,Never,Don't know,Not sure,no comment,1,2014
54.0,Male,Yes,1-5,Yes,No,Don't know,Very easy,Sometimes,Don't know,Not sure,no comment,1,2014
34.0,Female,Yes,500-1000,No,Yes,Don't know,Don't know,Never,Don't know,No,I don't have any mental health issues but for a number of years I had to care for a family member who did and I felt that I was not able to discuss or get support from friends or colleagues in the same way that I might have if they had suffered from a physical condition.,0,2014
32.0,Male,No,500-1000,No,Yes,Don't know,Very easy,Never,Yes,Not sure,no comment,1,2014
25.0,Male,No,6-25,Yes,No,Don't know,Don't know,,No,No,no comment,0,2014
29.0,Male,No,1-5,Yes,No,No,Somewhat difficult,Rarely,No,No,no comment,0,2014
32.0,Male,No,1-5,Yes,No,Don't know,Don't know,Never,No,No,no comment,0,2014
30.0,Male,Yes,More than 1000,Yes,No,Yes,Don't know,Sometimes,Yes,Yes,no comment,1,2014
31.0,Male,No,6-25,Yes,No,Don't know,Somewhat easy,,Don't know,No,no comment,0,2014
20.0,Female,No,More than 1000,Yes,Yes,Yes,Somewhat easy,Rarely,Yes,Yes,no comment,0,2014
27.0,Male,No,1-5,Yes,No,Don't know,Don't know,Never,Don't know,No,no comment,0,2014
32.0,Male,No,More than 1000,Yes,Don't know,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
26.0,Male,No,1-5,Yes,No,Don't know,Somewhat difficult,Never,No,No,no comment,0,2014
30.0,Male,No,More than 1000,No,No,Yes,Very easy,Sometimes,Don't know,No,no comment,0,2014
30.0,Male,No,26-100,Yes,Don't know,Don't know,Very difficult,Sometimes,No,No,no comment,1,2014
22.0,Male,No,1-5,Yes,Don't know,Don't know,Very easy,,Don't know,No,no comment,0,2014
24.0,Male,No,More than 1000,Yes,Don't know,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
26.0,Male,No,26-100,Yes,No,Don't know,Don't know,Never,No,No,no comment,0,2014
43.0,Male,No,100-500,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
26.0,Male,No,26-100,Yes,No,Don't know,Somewhat difficult,Never,No,Not sure,no comment,0,2014
23.0,Male,Yes,6-25,Yes,No,Don't know,Don't know,Sometimes,Don't know,Not sure,no comment,0,2014
26.0,Male,No,100-500,Yes,Don't know,Don't know,Somewhat easy,,Yes,Not sure,no comment,0,2014
26.0,Female,Yes,100-500,Yes,Don't know,Don't know,Don't know,Never,Don't know,No,no comment,0,2014
35.0,Male,Yes,26-100,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,no comment,0,2014
28.0,Male,No,26-100,No,No,Don't know,Don't know,Sometimes,Don't know,Not sure,no comment,1,2014
22.0,Male,No,26-100,Yes,No,Don't know,Don't know,,No,No,no comment,0,2014
29.0,Female,Yes,6-25,Yes,No,Don't know,Don't know,Rarely,Don't know,No,no comment,1,2014
29.0,Male,No,1-5,Yes,No,Yes,Very easy,,No,Yes,no comment,0,2014
45.0,Male,No,1-5,Yes,No,Don't know,Very easy,Often,Yes,Not sure,no comment,1,2014
33.0,Male,No,26-100,Yes,No,Don't know,Somewhat easy,Rarely,No,No,no comment,1,2014
38.0,Male,No,More than 1000,No,Yes,Don't know,Don't know,Sometimes,Yes,Yes,no comment,1,2014
19.0,Other,Yes,26-100,No,No,Don't know,Somewhat difficult,Often,Don't know,Not sure,no comment,1,2014
29.0,Female,No,More than 1000,No,Yes,Yes,Somewhat easy,Rarely,Yes,Yes,no comment,1,2014
21.0,Female,No,6-25,Yes,No,Don't know,Don't know,,No,No,no comment,0,2014
23.0,Female,Yes,More than 1000,Yes,No,Don't know,Don't know,Sometimes,Don't know,Not sure,no comment,1,2014
33.0,Female,Yes,More than 1000,Yes,Yes,Yes,Somewhat easy,Rarely,Yes,Yes,no comment,1,2014
49.0,Male,Yes,100-500,Yes,Yes,Yes,Somewhat easy,Sometimes,Yes,Not sure,no comment,1,2014
28.0,Male,No,26-100,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
27.0,Female,No,6-25,Yes,Yes,Yes,Very easy,Sometimes,Don't know,Not sure,no comment,1,2014
23.0,Male,No,6-25,Yes,No,Don't know,Somewhat easy,Sometimes,Yes,No,no comment,1,2014
29.0,Male,No,1-5,Yes,No,Yes,Somewhat easy,Never,No,No,no comment,0,2014
30.0,Male,No,26-100,Yes,No,Yes,Somewhat easy,,Don't know,No,no comment,0,2014
28.0,Female,No,More than 1000,Yes,Don't know,Don't know,Somewhat easy,,Yes,Not sure,I am a contractor so my lack of knowledge of workplace wellness stems directly from my lack of access to that material since I am not covered by it. I am aware that mental health services are available and am aware of a colleague who has taken a leave of absence to deal with mental health issues but am otherwise uninformed.,0,2014
32.0,Male,No,6-25,Yes,No,Don't know,Don't know,,No,No,no comment,0,2014
32.0,Male,No,26-100,No,No,Yes,Very easy,Sometimes,Yes,Yes,no comment,1,2014
37.0,Male,No,100-500,Yes,No,Don't know,Somewhat easy,,No,No,no comment,0,2014
39.0,Female,No,More than 1000,No,No,Don't know,Very difficult,,No,Yes,no comment,0,2014
31.0,Male,No,500-1000,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
29.0,Male,No,6-25,Yes,No,Don't know,Somewhat difficult,,No,No,no comment,0,2014
30.0,Male,No,100-500,No,No,Don't know,Don't know,,Yes,No,no comment,0,2014
33.0,Male,Yes,1-5,Yes,Yes,No,Very difficult,Rarely,No,Yes,no comment,1,2014
37.0,Male,Yes,100-500,Yes,Don't know,Yes,Don't know,Sometimes,Yes,Yes,no comment,1,2014
23.0,Male,No,26-100,No,Yes,Yes,Somewhat easy,Often,Yes,Yes,no comment,1,2014
43.0,Male,Yes,26-100,No,No,Don't know,Somewhat easy,Sometimes,Yes,Not sure,no comment,1,2014
32.0,Male,No,100-500,Yes,No,Don't know,Don't know,Rarely,Don't know,No,no comment,1,2014
26.0,Male,No,26-100,Yes,No,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
32.0,Male,No,1-5,Yes,Don't know,Don't know,Very easy,Sometimes,Don't know,Not sure,no comment,1,2014
37.0,Female,No,26-100,Yes,No,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
29.0,Male,No,26-100,Yes,No,Yes,Very easy,Often,Yes,Yes,no comment,1,2014
34.0,Male,No,6-25,Yes,No,Don't know,Somewhat easy,,No,No,no comment,0,2014
27.0,Male,No,6-25,Yes,Don't know,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
30.0,Male,Yes,100-500,Yes,No,Don't know,Very easy,Never,Don't know,No,no comment,0,2014
29.0,Male,No,6-25,Yes,No,Yes,Don't know,Never,Yes,Yes,no comment,0,2014
32.0,Male,Yes,1-5,Yes,Don't know,Don't know,Very difficult,Sometimes,Yes,Yes,no comment,1,2014
,Male,No,26-100,No,No,Don't know,Somewhat difficult,Sometimes,No,No,no comment,1,2014
25.0,Male,No,500-1000,Yes,Don't know,Yes,Somewhat easy,,Yes,Yes,no comment,0,2014
37.0,Male,No,6-25,Yes,Yes,Yes,Somewhat easy,,Yes,Yes,no comment,0,2014
29.0,Male,Yes,6-25,Yes,No,Don't know,Very easy,,No,No,no comment,0,2014
27.0,Male,No,26-100,Yes,No,Don't know,Don't know,,Yes,Not sure,no comment,0,2014
33.0,Male,No,6-25,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
30.0,Male,Yes,More than 1000,No,No,No,Very difficult,Sometimes,Don't know,No,no comment,1,2014
29.0,Male,No,1-5,Yes,No,Don't know,Somewhat difficult,,No,Yes,no comment,0,2014
25.0,Male,Yes,6-25,Yes,Yes,Don't know,Don't know,Never,Don't know,No,no comment,1,2014
33.0,Male,Yes,1-5,No,No,Don't know,Don't know,Sometimes,No,Yes,no comment,1,2014
31.0,Male,No,100-500,Yes,No,No,Don't know,Never,No,No,Fully remote developer,0,2014
21.0,Male,No,6-25,Yes,No,Don't know,Very easy,Rarely,Don't know,No,no comment,0,2014
30.0,Male,Yes,26-100,Yes,No,No,Very difficult,Sometimes,Don't know,No,no comment,1,2014
29.0,Male,No,More than 1000,No,Don't know,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
43.0,Male,No,1-5,Yes,No,Yes,Very difficult,Sometimes,No,No,no comment,1,2014
37.0,Male,No,6-25,Yes,No,Don't know,Don't know,Often,No,No,no comment,1,2014
24.0,Male,No,26-100,Yes,Yes,Don't know,Don't know,,No,No,no comment,0,2014
29.0,Male,No,6-25,Yes,No,Don't know,Very easy,,Don't know,Not sure,no comment,0,2014
31.0,Male,No,26-100,No,Yes,Yes,Don't know,,Yes,Yes,no comment,0,2014
,Male,No,100-500,Yes,No,Don't know,Somewhat easy,,Don't know,Not sure,We had a developer suffer from depression and pretty hard burnout but he refused treatment even when the company said we'd foot the bill. Eventually he had to be asked to resign which was a shame. I don't know if we have any specific programs for mental health but we're definitely on the lookout for those types of issues.,0,2014
33.0,Male,No,100-500,No,No,Don't know,Very easy,Never,No,Not sure,no comment,0,2014
43.0,Male,No,More than 1000,No,Don't know,Yes,Don't know,,Yes,Yes,no comment,0,2014
33.0,Male,No,26-100,Yes,No,Don't know,Don't know,Sometimes,Don't know,Not sure,no comment,1,2014
27.0,Male,No,6-25,Yes,No,Yes,Don't know,,No,No,no comment,0,2014
36.0,Male,Yes,More than 1000,No,Don't know,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
37.0,Male,Yes,26-100,Yes,No,Yes,Very easy,Sometimes,No,Yes,no comment,1,2014
32.0,Male,No,6-25,Yes,No,Don't know,Very difficult,,No,Yes,no comment,0,2014
39.0,Male,No,100-500,Yes,No,Don't know,Very easy,Sometimes,No,No,no comment,1,2014
31.0,Male,Yes,26-100,Yes,No,Don't know,Somewhat easy,Sometimes,Yes,Yes,no comment,1,2014
36.0,Male,No,100-500,Yes,No,Don't know,Very difficult,Sometimes,Yes,Yes,I am a 15 year vet of the industry and I get 2 weeks of combined sick and vacation time a year and I have children to fit into that too. I've had heart problems from the stress. Fuck everything about startup culture. ,1,2014
30.0,Male,No,26-100,Yes,Don't know,Don't know,Don't know,Sometimes,Don't know,Not sure,no comment,1,2014
28.0,Male,No,6-25,Yes,No,Yes,Very easy,,Yes,Not sure,no comment,0,2014
32.0,Male,No,6-25,Yes,No,No,Somewhat difficult,,No,No,Italians are somewhat behind for what concerns mental health care in the workplace.  Physical health care is very much accepted with a doctor that certifies your ailment.  Mental health is treated quite differently I believe because most people are willing to admit that physical ailments should be covered while mental ailments are almost considered non-existent in most respects.  ,0,2014
35.0,Male,Yes,6-25,Yes,Yes,Yes,Very easy,Rarely,Yes,Yes,Since I am the CEO of my startup some of the would you feel comfortable and do you know the policy questions are interesting.  Of course I feel comfortable since no one can fire me and I know the policies because I chose them!However now I am curious if my employees know just how supportive the company would be of their mental health needs and this survey is making me realize that we probably haven't done a great job communicating that to everyone.  Thanks for doing this.,1,2014
19.0,Male,No,26-100,Yes,No,Don't know,Somewhat difficult,Sometimes,Don't know,Not sure,no comment,1,2014
33.0,Male,Yes,26-100,Yes,No,Don't know,Very easy,,Yes,Yes,no comment,0,2014
42.0,Male,No,More than 1000,Yes,Yes,Yes,Very easy,,Don't know,Not sure,no comment,0,2014
